stateName,countyName,county
South Carolina,Abbeville,Abbeville County
Rhode Island,Bristol,Bristol County
Vermont,Bennington,Bennington County
Utah,Box Elder,Box Elder County
Wisconsin,Barron,Barron County
West Virginia,Boone,Boone County
Washington,Benton,Benton County
Virginia,Alleghany,Alleghany County
Texas,Andrews,Andrews County
Tennessee,Bedford,Bedford County
South Dakota,Bon Homme,Bon Homme County
South Carolina,Aiken,Aiken County
Pennsylvania,Adams,Adams County
Rhode Island,Kent,Kent County
Oregon,Baker,Baker County
Oklahoma,Adair,Adair County
Vermont,Caledonia,Caledonia County
Utah,Cache,Cache County
Wisconsin,Bayfield,Bayfield County
West Virginia,Braxton,Braxton County
Washington,Chelan,Chelan County
Ohio,Adams,Adams County
North Dakota,Adams,Adams County
North Carolina,Alamance,Alamance County
New York,Albany,Albany County
Virginia,Amelia,Amelia County
New Mexico,Bernalillo,Bernalillo County
Texas,Angelina,Angelina County
Tennessee,Benton,Benton County
South Dakota,Brookings,Brookings County
South Carolina,Allendale,Allendale County
Pennsylvania,Allegheny,Allegheny County
Rhode Island,Newport,Newport County
Oregon,Benton,Benton County
Oklahoma,Alfalfa,Alfalfa County
Vermont,Chittenden,Chittenden County
Utah,Carbon,Carbon County
Wisconsin,Brown,Brown County
West Virginia,Brooke,Brooke County
Washington,Clallam,Clallam County
Ohio,Allen,Allen County
North Dakota,Barnes,Barnes County
North Carolina,Alexander,Alexander County
New York,Allegany,Allegany County
New Jersey,Atlantic,Atlantic County
New Hampshire,Belknap,Belknap County
Nevada,Churchill,Churchill County
Virginia,Amherst,Amherst County
New Mexico,Catron,Catron County
Texas,Aransas,Aransas County
Tennessee,Bledsoe,Bledsoe County
South Dakota,Brown,Brown County
South Carolina,Anderson,Anderson County
Pennsylvania,Armstrong,Armstrong County
Rhode Island,Providence,Providence County
Oregon,Clackamas,Clackamas County
Oklahoma,Atoka,Atoka County
Vermont,Essex,Essex County
Utah,Daggett,Daggett County
Wisconsin,Buffalo,Buffalo County
West Virginia,Cabell,Cabell County
Washington,Clark,Clark County
Nebraska,Adams,Adams County
Minnesota,Aitkin,Aitkin County
Ohio,Ashland,Ashland County
Michigan,Alcona,Alcona County
Massachusetts,Barnstable,Barnstable County
Maryland,Allegany,Allegany County
North Dakota,Benson,Benson County
North Carolina,Alleghany,Alleghany County
New York,Bronx,Bronx County
New Jersey,Bergen,Bergen County
New Hampshire,Carroll,Carroll County
Nevada,Clark,Clark County
Virginia,Appomattox,Appomattox County
New Mexico,Chaves,Chaves County
Texas,Archer,Archer County
Tennessee,Blount,Blount County
South Dakota,Brule,Brule County
South Carolina,Bamberg,Bamberg County
Pennsylvania,Beaver,Beaver County
Rhode Island,Washington,Washington County
Oregon,Clatsop,Clatsop County
Oklahoma,Beaver,Beaver County
Vermont,Franklin,Franklin County
Utah,Davis,Davis County
Wisconsin,Burnett,Burnett County
West Virginia,Calhoun,Calhoun County
Washington,Columbia,Columbia County
Nebraska,Antelope,Antelope County
Minnesota,Anoka,Anoka County
Ohio,Ashtabula,Ashtabula County
Michigan,Alger,Alger County
Massachusetts,Berkshire,Berkshire County
Maryland,Anne Arundel,Anne Arundel County
North Dakota,Billings,Billings County
North Carolina,Anson,Anson County
New York,Broome,Broome County
New Jersey,Burlington,Burlington County
New Hampshire,Cheshire,Cheshire County
Nevada,Douglas,Douglas County
Virginia,Arlington,Arlington County
New Mexico,Cibola,Cibola County
Texas,Armstrong,Armstrong County
Tennessee,Bradley,Bradley County
South Dakota,Butte,Butte County
South Carolina,Barnwell,Barnwell County
Pennsylvania,Bedford,Bedford County
Oregon,Columbia,Columbia County
Oklahoma,Beckham,Beckham County
Vermont,Grand Isle,Grand Isle County
Utah,Duchesne,Duchesne County
Wisconsin,Calumet,Calumet County
West Virginia,Clay,Clay County
Washington,Cowlitz,Cowlitz County
Nebraska,Boone,Boone County
Minnesota,Becker,Becker County
Ohio,Athens,Athens County
Michigan,Allegan,Allegan County
Massachusetts,Bristol,Bristol County
Maryland,Calvert,Calvert County
North Dakota,Bottineau,Bottineau County
North Carolina,Ashe,Ashe County
New York,Cattaraugus,Cattaraugus County
New Jersey,Camden,Camden County
New Hampshire,Coos,Coos County
Nevada,Elko,Elko County
Virginia,Augusta,Augusta County
New Mexico,Colfax,Colfax County
Texas,Atascosa,Atascosa County
Tennessee,Campbell,Campbell County
South Dakota,Charles Mix,Charles Mix County
South Carolina,Beaufort,Beaufort County
Pennsylvania,Berks,Berks County
Oregon,Coos,Coos County
Oklahoma,Blaine,Blaine County
Vermont,Lamoille,Lamoille County
Utah,Emery,Emery County
Wisconsin,Chippewa,Chippewa County
West Virginia,Doddridge,Doddridge County
Washington,Douglas,Douglas County
Nebraska,Box Butte,Box Butte County
Minnesota,Beltrami,Beltrami County
Ohio,Auglaize,Auglaize County
Michigan,Alpena,Alpena County
Massachusetts,Dukes,Dukes County
Maryland,Caroline,Caroline County
North Dakota,Bowman,Bowman County
North Carolina,Avery,Avery County
New York,Cayuga,Cayuga County
New Jersey,Cape May,Cape May County
New Hampshire,Grafton,Grafton County
Nevada,Eureka,Eureka County
Virginia,Bath,Bath County
New Mexico,Curry,Curry County
Texas,Austin,Austin County
Tennessee,Cannon,Cannon County
South Dakota,Clark,Clark County
South Carolina,Berkeley,Berkeley County
Pennsylvania,Blair,Blair County
Oregon,Crook,Crook County
Oklahoma,Bryan,Bryan County
Vermont,Orange,Orange County
Utah,Garfield,Garfield County
Wisconsin,Clark,Clark County
West Virginia,Fayette,Fayette County
Washington,Ferry,Ferry County
Nebraska,Brown,Brown County
Minnesota,Benton,Benton County
Ohio,Belmont,Belmont County
Michigan,Antrim,Antrim County
Massachusetts,Essex,Essex County
Maryland,Carroll,Carroll County
North Dakota,Burke,Burke County
North Carolina,Beaufort,Beaufort County
New York,Chautauqua,Chautauqua County
New Jersey,Cumberland,Cumberland County
New Hampshire,Hills,Hills County
Nevada,Humboldt,Humboldt County
Virginia,Bedford,Bedford County
New Mexico,De Baca,De Baca County
Texas,Bailey,Bailey County
Tennessee,Carroll,Carroll County
South Dakota,Clay,Clay County
Pennsylvania,Bradford,Bradford County
Oregon,Curry,Curry County
Oklahoma,Caddo,Caddo County
Vermont,Orleans,Orleans County
Utah,Grand,Grand County
Wisconsin,Columbia,Columbia County
West Virginia,Gilmer,Gilmer County
Washington,Franklin,Franklin County
Nebraska,Buffalo,Buffalo County
Minnesota,Big Stone,Big Stone County
Ohio,Brown,Brown County
Michigan,Arenac,Arenac County
Massachusetts,Franklin,Franklin County
Maryland,Cecil,Cecil County
North Dakota,Burleigh,Burleigh County
North Carolina,Bertie,Bertie County
New York,Chemung,Chemung County
New Jersey,Essex,Essex County
New Hampshire,Merrimack,Merrimack County
Nevada,Lander,Lander County
Virginia,Bland,Bland County
New Mexico,Dona Ana,Dona Ana County
Texas,Bandera,Bandera County
Tennessee,Carter,Carter County
South Dakota,Codington,Codington County
South Carolina,Calhoun,Calhoun County
Oregon,Deschutes,Deschutes County
Oklahoma,Canadian,Canadian County
Vermont,Rutland,Rutland County
Utah,Iron,Iron County
Wisconsin,Crawford,Crawford County
West Virginia,Grant,Grant County
Washington,Garfield,Garfield County
Nebraska,Burt,Burt County
Minnesota,Blue Earth,Blue Earth County
Ohio,Butler,Butler County
Michigan,Baraga,Baraga County
Massachusetts,Hampden,Hampden County
Maryland,Charles,Charles County
North Dakota,Cass,Cass County
North Carolina,Bladen,Bladen County
New York,Chenango,Chenango County
New Jersey,Gloucester,Gloucester County
New Hampshire,Rockingham,Rockingham County
Nevada,Lincoln,Lincoln County
Virginia,Botetourt,Botetourt County
New Mexico,Eddy,Eddy County
Texas,Bastrop,Bastrop County
Tennessee,Cheatham,Cheatham County
South Dakota,Custer,Custer County
South Carolina,Charleston,Charleston County
Pennsylvania,Bucks,Bucks County
Oregon,Douglas,Douglas County
Oklahoma,Carter,Carter County
Vermont,Washington,Washington County
Utah,Juab,Juab County
Wisconsin,Dane,Dane County
West Virginia,Greenbrier,Greenbrier County
Washington,Grant,Grant County
Nebraska,Butler,Butler County
Minnesota,Brown,Brown County
Ohio,Carroll,Carroll County
Michigan,Barry,Barry County
Massachusetts,Hampshire,Hampshire County
Maryland,Dorchester,Dorchester County
North Dakota,Cavalier,Cavalier County
North Carolina,Brunswick,Brunswick County
New York,Clinton,Clinton County
New Jersey,Hudson,Hudson County
New Hampshire,Strafford,Strafford County
Nevada,Lyon,Lyon County
Virginia,Brunswick,Brunswick County
New Mexico,Grant,Grant County
Texas,Baylor,Baylor County
Tennessee,Chester,Chester County
South Dakota,Davison,Davison County
South Carolina,Cherokee,Cherokee County
Pennsylvania,Butler,Butler County
Oregon,Gilliam,Gilliam County
Oklahoma,Cherokee,Cherokee County
Vermont,Windham,Windham County
Utah,Kane,Kane County
Wisconsin,Dodge,Dodge County
West Virginia,Hampshire,Hampshire County
Washington,Grays Harbor,Grays Harbor County
Nebraska,Cass,Cass County
Minnesota,Carlton,Carlton County
Ohio,Champaign,Champaign County
Michigan,Bay,Bay County
Massachusetts,Middlesex,Middlesex County
Maryland,Frederick,Frederick County
North Dakota,Dickey,Dickey County
North Carolina,Buncombe,Buncombe County
New York,Columbia,Columbia County
New Jersey,Hunterdon,Hunterdon County
New Hampshire,Sullivan,Sullivan County
Nevada,Mineral,Mineral County
Virginia,Buchanan,Buchanan County
New Mexico,Guadalupe,Guadalupe County
Texas,Bee,Bee County
Tennessee,Claiborne,Claiborne County
South Dakota,Day,Day County
South Carolina,Chester,Chester County
Pennsylvania,Cambria,Cambria County
Oregon,Grant,Grant County
Oklahoma,Choctaw,Choctaw County
Vermont,Windsor,Windsor County
Utah,Millard,Millard County
Wisconsin,Door,Door County
West Virginia,Hancock,Hancock County
Washington,Island,Island County
Nebraska,Cedar,Cedar County
Minnesota,Carver,Carver County
Ohio,Clark,Clark County
Michigan,Benzie,Benzie County
Massachusetts,Nantucket,Nantucket County
Maryland,Garrett,Garrett County
North Dakota,Divide,Divide County
North Carolina,Burke,Burke County
New York,Cortland,Cortland County
New Jersey,Mercer,Mercer County
Nevada,Nye,Nye County
Virginia,Buckingham,Buckingham County
New Mexico,Hidalgo,Hidalgo County
Texas,Bell,Bell County
Tennessee,Clay,Clay County
South Dakota,Deuel,Deuel County
South Carolina,Chesterfield,Chesterfield County
Pennsylvania,Cameron,Cameron County
Oregon,Harney,Harney County
Oklahoma,Cleveland,Cleveland County
Utah,Morgan,Morgan County
Wisconsin,Douglas,Douglas County
West Virginia,Hardy,Hardy County
Washington,Jefferson,Jefferson County
Nebraska,Chase,Chase County
Minnesota,Cass,Cass County
Ohio,Clermont,Clermont County
Michigan,Berrien,Berrien County
Massachusetts,Norfolk,Norfolk County
Maryland,Harford,Harford County
North Dakota,Dunn,Dunn County
North Carolina,Cabarrus,Cabarrus County
New York,Delaware,Delaware County
New Jersey,Middlesex,Middlesex County
Nevada,Pershing,Pershing County
Virginia,Campbell,Campbell County
New Mexico,Lea,Lea County
Texas,Bexar,Bexar County
Tennessee,Cocke,Cocke County
South Dakota,Douglas,Douglas County
South Carolina,Clarendon,Clarendon County
Pennsylvania,Carbon,Carbon County
Oregon,Hood River,Hood River County
Oklahoma,Coal,Coal County
Utah,Piute,Piute County
Wisconsin,Dunn,Dunn County
West Virginia,Harrison,Harrison County
Washington,King,King County
Nebraska,Cherry,Cherry County
Minnesota,Chippewa,Chippewa County
Ohio,Clinton,Clinton County
Michigan,Branch,Branch County
Massachusetts,Plymouth,Plymouth County
Maryland,Howard,Howard County
North Dakota,Eddy,Eddy County
North Carolina,Caldwell,Caldwell County
New York,Dutchess,Dutchess County
New Jersey,Monmouth,Monmouth County
Nevada,Storey,Storey County
Virginia,Caroline,Caroline County
New Mexico,Lincoln,Lincoln County
Texas,Blanco,Blanco County
Tennessee,Coffee,Coffee County
South Dakota,Edmunds,Edmunds County
South Carolina,Colleton,Colleton County
Pennsylvania,Centre,Centre County
Oregon,Jackson,Jackson County
Oklahoma,Comanche,Comanche County
Utah,Rich,Rich County
Wisconsin,Eau Claire,Eau Claire County
West Virginia,Jackson,Jackson County
Washington,Kitsap,Kitsap County
Nebraska,Cheyenne,Cheyenne County
Minnesota,Chisago,Chisago County
Ohio,Columbiana,Columbiana County
Michigan,Calhoun,Calhoun County
Massachusetts,Suffolk,Suffolk County
Maryland,Kent,Kent County
North Dakota,Emmons,Emmons County
North Carolina,Camden,Camden County
New York,Erie,Erie County
New Jersey,Morris,Morris County
Nevada,Washoe,Washoe County
Virginia,Carroll,Carroll County
New Mexico,Los Alamos,Los Alamos County
Texas,Bosque,Bosque County
Tennessee,Crockett,Crockett County
South Dakota,Fall River,Fall River County
South Carolina,Darlington,Darlington County
Pennsylvania,Chester,Chester County
Oregon,Jefferson,Jefferson County
Oklahoma,Cotton,Cotton County
Utah,Salt Lake,Salt Lake County
Wisconsin,Florence,Florence County
West Virginia,Jefferson,Jefferson County
Washington,Kittitas,Kittitas County
Nebraska,Clay,Clay County
Minnesota,Clay,Clay County
Ohio,Coshocton,Coshocton County
Michigan,Cass,Cass County
Massachusetts,Worcester,Worcester County
Maryland,Montgomery,Montgomery County
North Dakota,Foster,Foster County
North Carolina,Carteret,Carteret County
New York,Essex,Essex County
New Jersey,Ocean,Ocean County
Nevada,White Pine,White Pine County
Virginia,Charlotte,Charlotte County
New Mexico,Luna,Luna County
Texas,Bowie,Bowie County
Tennessee,Cumberland,Cumberland County
South Dakota,Grant,Grant County
South Carolina,Dillon,Dillon County
Pennsylvania,Clarion,Clarion County
Oregon,Josephine,Josephine County
Oklahoma,Craig,Craig County
Utah,San Juan,San Juan County
Wisconsin,Fond du Lac,Fond du Lac County
West Virginia,Kanawha,Kanawha County
Washington,Klickitat,Klickitat County
Nebraska,Colfax,Colfax County
Minnesota,Clearwater,Clearwater County
Ohio,Crawford,Crawford County
Michigan,Charlevoix,Charlevoix County
Maryland,Prince George's,Prince George's County
North Dakota,Golden Valley,Golden Valley County
North Carolina,Caswell,Caswell County
New York,Franklin,Franklin County
New Jersey,Passaic,Passaic County
Virginia,Chesterfield,Chesterfield County
New Mexico,McKinley,McKinley County
Texas,Brazoria,Brazoria County
Tennessee,Davidson,Davidson County
South Dakota,Gregory,Gregory County
South Carolina,Dorchester,Dorchester County
Pennsylvania,Clearfield,Clearfield County
Oregon,Klamath,Klamath County
Oklahoma,Creek,Creek County
Utah,Sanpete,Sanpete County
Wisconsin,Forest,Forest County
West Virginia,Lewis,Lewis County
Washington,Lewis,Lewis County
Nebraska,Cuming,Cuming County
Minnesota,Cook,Cook County
Ohio,Cuyahoga,Cuyahoga County
Michigan,Cheboygan,Cheboygan County
Maryland,Queen Anne's,Queen Anne's County
North Dakota,Grand Forks,Grand Forks County
North Carolina,Catawba,Catawba County
New York,Fulton,Fulton County
New Jersey,Salem,Salem County
Virginia,Clarke,Clarke County
New Mexico,Mora,Mora County
Texas,Brazos,Brazos County
Tennessee,Decatur,Decatur County
South Dakota,Haakon,Haakon County
South Carolina,Edgefield,Edgefield County
Pennsylvania,Clinton,Clinton County
Oregon,Lake,Lake County
Oklahoma,Custer,Custer County
Utah,Sevier,Sevier County
Wisconsin,Grant,Grant County
West Virginia,Lincoln,Lincoln County
Washington,Lincoln,Lincoln County
Nebraska,Custer,Custer County
Minnesota,Cottonwood,Cottonwood County
Ohio,Darke,Darke County
Michigan,Chippewa,Chippewa County
Maryland,Saint Mary's,Saint Mary's County
North Dakota,Grant,Grant County
North Carolina,Chatham,Chatham County
New York,Genesee,Genesee County
New Jersey,Somerset,Somerset County
Virginia,Craig,Craig County
New Mexico,Otero,Otero County
Texas,Brewster,Brewster County
Tennessee,DeKalb,DeKalb County
South Dakota,Hamlin,Hamlin County
South Carolina,Fairfield,Fairfield County
Pennsylvania,Columbia,Columbia County
Oregon,Lane,Lane County
Oklahoma,Delaware,Delaware County
Utah,Summit,Summit County
Wisconsin,Green,Green County
West Virginia,Logan,Logan County
Washington,Mason,Mason County
Nebraska,Dakota,Dakota County
Minnesota,Crow Wing,Crow Wing County
Ohio,Defiance,Defiance County
Michigan,Clare,Clare County
Maryland,Somerset,Somerset County
North Dakota,Griggs,Griggs County
North Carolina,Cherokee,Cherokee County
New York,Greene,Greene County
New Jersey,Sussex,Sussex County
Virginia,Culpeper,Culpeper County
New Mexico,Quay,Quay County
Texas,Briscoe,Briscoe County
Tennessee,Dickson,Dickson County
South Dakota,Hand,Hand County
South Carolina,Florence,Florence County
Pennsylvania,Crawford,Crawford County
Oregon,Lincoln,Lincoln County
Oklahoma,Dewey,Dewey County
Utah,Tooele,Tooele County
Wisconsin,Green Lake,Green Lake County
West Virginia,McDowell,McDowell County
Washington,Okanogan,Okanogan County
Nebraska,Dawes,Dawes County
Minnesota,Dakota,Dakota County
Ohio,Delaware,Delaware County
Michigan,Clinton,Clinton County
Maryland,Talbot,Talbot County
North Dakota,Hettinger,Hettinger County
North Carolina,Chowan,Chowan County
New York,Hamilton,Hamilton County
New Jersey,Union,Union County
Virginia,Cumberland,Cumberland County
New Mexico,Rio Arriba,Rio Arriba County
Texas,Brooks,Brooks County
Tennessee,Dyer,Dyer County
South Dakota,Harding,Harding County
South Carolina,Georgetown,Georgetown County
Pennsylvania,Cumberland,Cumberland County
Oregon,Linn,Linn County
Oklahoma,Ellis,Ellis County
Utah,Uintah,Uintah County
Wisconsin,Iowa,Iowa County
West Virginia,Marion,Marion County
Washington,Pacific,Pacific County
Nebraska,Dawson,Dawson County
Minnesota,Dodge,Dodge County
Ohio,Erie,Erie County
Michigan,Crawford,Crawford County
Maryland,Washington,Washington County
North Dakota,Kidder,Kidder County
North Carolina,Clay,Clay County
New York,Herkimer,Herkimer County
New Jersey,Warren,Warren County
Virginia,Dickenson,Dickenson County
New Mexico,Roosevelt,Roosevelt County
Texas,Brown,Brown County
Tennessee,Fayette,Fayette County
South Dakota,Hughes,Hughes County
South Carolina,Greenville,Greenville County
Pennsylvania,Dauphin,Dauphin County
Oregon,Malheur,Malheur County
Oklahoma,Garfield,Garfield County
Utah,Utah,Utah County
Wisconsin,Iron,Iron County
West Virginia,Marshall,Marshall County
Washington,Pend Oreille,Pend Oreille County
Nebraska,Deuel,Deuel County
Minnesota,Douglas,Douglas County
Ohio,Fairfield,Fairfield County
Michigan,Delta,Delta County
Maryland,Wicomico,Wicomico County
North Dakota,LaMoure,LaMoure County
North Carolina,Cleveland,Cleveland County
New York,Jefferson,Jefferson County
Virginia,Dinwiddie,Dinwiddie County
New Mexico,Sandoval,Sandoval County
Texas,Burleson,Burleson County
Tennessee,Fentress,Fentress County
South Dakota,Hutchinson,Hutchinson County
South Carolina,Greenwood,Greenwood County
Pennsylvania,Delaware,Delaware County
Oregon,Marion,Marion County
Oklahoma,Garvin,Garvin County
Utah,Wasatch,Wasatch County
Wisconsin,Jackson,Jackson County
West Virginia,Mason,Mason County
Washington,Pierce,Pierce County
Nebraska,Dixon,Dixon County
Minnesota,Faribault,Faribault County
Ohio,Fayette,Fayette County
Michigan,Dickinson,Dickinson County
Maryland,Worcester,Worcester County
North Dakota,Logan,Logan County
North Carolina,Columbus,Columbus County
New York,Kings,Kings County
Virginia,Essex,Essex County
New Mexico,San Juan,San Juan County
Texas,Burnet,Burnet County
Tennessee,Franklin,Franklin County
South Dakota,Jackson,Jackson County
South Carolina,Hampton,Hampton County
Pennsylvania,Elk,Elk County
Oregon,Morrow,Morrow County
Oklahoma,Grady,Grady County
Utah,Washington,Washington County
Wisconsin,Jefferson,Jefferson County
West Virginia,Mercer,Mercer County
Washington,San Juan,San Juan County
Nebraska,Dodge,Dodge County
Minnesota,Fillmore,Fillmore County
Ohio,Franklin,Franklin County
Michigan,Eaton,Eaton County
North Dakota,McHenry,McHenry County
North Carolina,Craven,Craven County
New York,Lewis,Lewis County
Virginia,Fairfax,Fairfax County
New Mexico,San Miguel,San Miguel County
Texas,Caldwell,Caldwell County
Tennessee,Gibson,Gibson County
South Dakota,Jerauld,Jerauld County
South Carolina,Horry,Horry County
Pennsylvania,Erie,Erie County
Oregon,Multnomah,Multnomah County
Oklahoma,Grant,Grant County
Utah,Wayne,Wayne County
Wisconsin,Juneau,Juneau County
West Virginia,Mineral,Mineral County
Washington,Skagit,Skagit County
Nebraska,Douglas,Douglas County
Minnesota,Freeborn,Freeborn County
Ohio,Fulton,Fulton County
Michigan,Emmet,Emmet County
North Dakota,McIntosh,McIntosh County
North Carolina,Cumberland,Cumberland County
New York,Livingston,Livingston County
Virginia,Fauquier,Fauquier County
New Mexico,Santa Fe,Santa Fe County
Texas,Calhoun,Calhoun County
Tennessee,Giles,Giles County
South Dakota,Jones,Jones County
South Carolina,Jasper,Jasper County
Pennsylvania,Fayette,Fayette County
Oregon,Polk,Polk County
Oklahoma,Greer,Greer County
Utah,Weber,Weber County
Wisconsin,Kenosha,Kenosha County
West Virginia,Mingo,Mingo County
Washington,Skamania,Skamania County
Nebraska,Dundy,Dundy County
Minnesota,Goodhue,Goodhue County
Ohio,Gallia,Gallia County
Michigan,Genesee,Genesee County
North Dakota,McKenzie,McKenzie County
North Carolina,Currituck,Currituck County
New York,Madison,Madison County
Virginia,Floyd,Floyd County
New Mexico,Sierra,Sierra County
Texas,Callahan,Callahan County
Tennessee,Grainger,Grainger County
South Dakota,Kingsbury,Kingsbury County
South Carolina,Kershaw,Kershaw County
Pennsylvania,Forest,Forest County
Oregon,Sherman,Sherman County
Oklahoma,Harper,Harper County
Wisconsin,Kewaunee,Kewaunee County
West Virginia,Monongalia,Monongalia County
Washington,Snohomish,Snohomish County
Nebraska,Fillmore,Fillmore County
Minnesota,Grant,Grant County
Ohio,Geauga,Geauga County
Michigan,Gladwin,Gladwin County
North Dakota,McLean,McLean County
North Carolina,Dare,Dare County
New York,Monroe,Monroe County
Virginia,Fluvanna,Fluvanna County
New Mexico,Socorro,Socorro County
Texas,Cameron,Cameron County
Tennessee,Greene,Greene County
South Dakota,Lake,Lake County
South Carolina,Lancaster,Lancaster County
Pennsylvania,Franklin,Franklin County
Oregon,Tillamook,Tillamook County
Oklahoma,Haskell,Haskell County
Wisconsin,La Crosse,La Crosse County
West Virginia,Monroe,Monroe County
Washington,Spokane,Spokane County
Nebraska,Franklin,Franklin County
Minnesota,Hennepin,Hennepin County
Ohio,Greene,Greene County
Michigan,Gogebic,Gogebic County
North Dakota,Mercer,Mercer County
North Carolina,Davidson,Davidson County
New York,Montgomery,Montgomery County
Virginia,Frederick,Frederick County
New Mexico,Taos,Taos County
Texas,Camp,Camp County
Tennessee,Grundy,Grundy County
South Dakota,Lawrence,Lawrence County
South Carolina,Laurens,Laurens County
Pennsylvania,Fulton,Fulton County
Oregon,Umatilla,Umatilla County
Oklahoma,Hughes,Hughes County
Wisconsin,Lafayette,Lafayette County
West Virginia,Morgan,Morgan County
Washington,Stevens,Stevens County
Nebraska,Frontier,Frontier County
Minnesota,Houston,Houston County
Ohio,Guernsey,Guernsey County
Michigan,Grand Traverse,Grand Traverse County
North Dakota,Morton,Morton County
North Carolina,Davie,Davie County
New York,Nassau,Nassau County
Virginia,Giles,Giles County
New Mexico,Torrance,Torrance County
Texas,Carson,Carson County
Tennessee,Hamblen,Hamblen County
South Dakota,Lincoln,Lincoln County
South Carolina,Lee,Lee County
Pennsylvania,Greene,Greene County
Oregon,Union,Union County
Oklahoma,Jackson,Jackson County
Wisconsin,Langlade,Langlade County
West Virginia,Nicholas,Nicholas County
Washington,Thurston,Thurston County
Nebraska,Furnas,Furnas County
Minnesota,Hubbard,Hubbard County
Ohio,Hamilton,Hamilton County
Michigan,Gratiot,Gratiot County
North Dakota,Mountrail,Mountrail County
North Carolina,Duplin,Duplin County
New York,New York,New York County
Virginia,Gloucester,Gloucester County
New Mexico,Union,Union County
Texas,Cass,Cass County
Tennessee,Hamilton,Hamilton County
South Dakota,Lyman,Lyman County
South Carolina,Lexington,Lexington County
Pennsylvania,Huntingdon,Huntingdon County
Oregon,Wallowa,Wallowa County
Oklahoma,Jefferson,Jefferson County
Wisconsin,Lincoln,Lincoln County
West Virginia,Ohio,Ohio County
Washington,Wahkiakum,Wahkiakum County
Nebraska,Gage,Gage County
Minnesota,Isanti,Isanti County
Ohio,Hancock,Hancock County
Michigan,Hillsdale,Hillsdale County
North Dakota,Nelson,Nelson County
North Carolina,Durham,Durham County
New York,Niagara,Niagara County
Virginia,Goochland,Goochland County
New Mexico,Valencia,Valencia County
Texas,Castro,Castro County
Tennessee,Hancock,Hancock County
South Dakota,McCook,McCook County
South Carolina,McCormick,McCormick County
Pennsylvania,Indiana,Indiana County
Oregon,Wasco,Wasco County
Oklahoma,Johnston,Johnston County
Wisconsin,Manitowoc,Manitowoc County
West Virginia,Pendleton,Pendleton County
Washington,Walla Walla,Walla Walla County
Nebraska,Garden,Garden County
Minnesota,Itasca,Itasca County
Ohio,Hardin,Hardin County
Michigan,Houghton,Houghton County
North Dakota,Oliver,Oliver County
North Carolina,Edgecombe,Edgecombe County
New York,Oneida,Oneida County
Virginia,Grayson,Grayson County
Texas,Chambers,Chambers County
Tennessee,Hardeman,Hardeman County
South Dakota,McPherson,McPherson County
South Carolina,Marion,Marion County
Pennsylvania,Jefferson,Jefferson County
Oregon,Washington,Washington County
Oklahoma,Kay,Kay County
Wisconsin,Marathon,Marathon County
West Virginia,Pleasants,Pleasants County
Washington,Whatcom,Whatcom County
Nebraska,Gosper,Gosper County
Minnesota,Jackson,Jackson County
Ohio,Harrison,Harrison County
Michigan,Huron,Huron County
North Dakota,Pembina,Pembina County
North Carolina,Forsyth,Forsyth County
New York,Onondaga,Onondaga County
Virginia,Greene,Greene County
Texas,Cherokee,Cherokee County
Tennessee,Hardin,Hardin County
South Dakota,Marshall,Marshall County
South Carolina,Marlboro,Marlboro County
Pennsylvania,Juniata,Juniata County
Oregon,Wheeler,Wheeler County
Oklahoma,Kingfisher,Kingfisher County
Wisconsin,Marinette,Marinette County
West Virginia,Pocahontas,Pocahontas County
Washington,Whitman,Whitman County
Nebraska,Greeley,Greeley County
Minnesota,Kanabec,Kanabec County
Ohio,Henry,Henry County
Michigan,Ingham,Ingham County
North Dakota,Pierce,Pierce County
North Carolina,Franklin,Franklin County
New York,Ontario,Ontario County
Virginia,Greensville,Greensville County
Texas,Childress,Childress County
Tennessee,Hawkins,Hawkins County
South Dakota,Meade,Meade County
South Carolina,Newberry,Newberry County
Pennsylvania,Lackawanna,Lackawanna County
Oregon,Yamhill,Yamhill County
Oklahoma,Kiowa,Kiowa County
Wisconsin,Marquette,Marquette County
West Virginia,Preston,Preston County
Washington,Yakima,Yakima County
Nebraska,Hall,Hall County
Minnesota,Kandiyohi,Kandiyohi County
Ohio,Highland,Highland County
Michigan,Ionia,Ionia County
North Dakota,Ramsey,Ramsey County
North Carolina,Gaston,Gaston County
New York,Orange,Orange County
Virginia,Halifax,Halifax County
Texas,Clay,Clay County
Tennessee,Haywood,Haywood County
South Dakota,Miner,Miner County
South Carolina,Oconee,Oconee County
Pennsylvania,Lancaster,Lancaster County
Oklahoma,Latimer,Latimer County
Wisconsin,Menominee,Menominee County
West Virginia,Putnam,Putnam County
Nebraska,Hamilton,Hamilton County
Minnesota,Kittson,Kittson County
Ohio,Hocking,Hocking County
Michigan,Iosco,Iosco County
North Dakota,Ransom,Ransom County
North Carolina,Gates,Gates County
New York,Orleans,Orleans County
Virginia,Hanover,Hanover County
Texas,Cochran,Cochran County
Tennessee,Henderson,Henderson County
South Dakota,Minnehaha,Minnehaha County
South Carolina,Orangeburg,Orangeburg County
Pennsylvania,Lawrence,Lawrence County
Oklahoma,Le Flore,Le Flore County
Wisconsin,Milwaukee,Milwaukee County
West Virginia,Raleigh,Raleigh County
Nebraska,Harlan,Harlan County
Minnesota,Koochiching,Koochiching County
Ohio,Holmes,Holmes County
